Text,Emotion,Temiz_Text
Anneannem ben bir yaşındayken ölmüş. Onu hiç göremedim. bu durum beni çok üzdü. annem kardeşlerin olmasını çok önemsiyor.tek kalmak çok zor.,Sadness,anneanne yaş ölmek hiç görmek durum çok üzdü anne kardeş olmak çok önemsemek kalmak çok zor
Geceleri odamda gündüz bir hırsızın eve girip saklandığını düşünmek bu yüzden kapıları kapatmak.,Fear,gece oda gündüz hırsız ev girmek saklamak düşünmek yüz kapı kapamak
Ankara'daki bombalı saldırısını öğrendiğim zaman.,Sadness,ankara daki bomba saldırı öğrenmek zaman
"Siyasi ideolojiler, parti politikalarını şekillendirir.",Neutral,siyasî ideoloji parti politika şekil
Korku filmi izleyemiyorum. ben her şeyden korkuyorum.,Fear,korku film izlemek şey korkmak
Gülseren Budayıcıoğlu'nun sevilen iki dizisi Masumlar Apartmanı ve Kırmızı Oda ikinci sezon onayını aldı. Doğduğun Ev Kaderindir ise bu sezon son diye biliyorum son dakika değişikliği olmazsa. ??,Neutral,gülseren budayıcıoğlu nun sevmek iki dizi masum apartman kırmızı oda ikinci sezon onay aldı doğmak ev kader sezon son bilmek son dakika değişik olmak
Çin işkencesi izlediğimde.,Fear,çin işkence izlemek
Haksızlığa ve yalana dayanamam öfkelenirim.,Anger,hak yalan dayanmak öfke
çocukken sahip olduğum kuş ölünce çok üzüldüm,Sadness,çocuk sahip olduğum kuş ölünce çok üzüldüm
Attığım 3'lük kaçtığında çok şaşırmıştım.,Surprise,attığım lük kaçmak çok şaşırmak
"Hayatımın en mutlu anıymış , bilmiyordum. İlk kez aşık olduğum andı.",Happy,hayat mutlu an bilmek ilk kez aşık olduğum andı
ilk defa baba olacağımı öğrendiğimde çok mutlu oldum.,Happy,ilk defa baba olacağımı öğrenmek çok mutlu oldum
ağzını şapırdatarak yiyen insanlardan hoşlanmıyorum,Disgust,ağzını şapırdamak yiyen insan hoşlanmak
Üniversiteyi kazandığımda çok mutlu oldum.,Happy,üniversite kazanmak çok mutlu oldum
"Bana sürpriz doğum günü kutlaması organize ettiklerinde, hiç tahmin etmediğim insanları birden bire karşımda görünce çok şaşırmıştım.",Surprise,sürpriz doğum gün kutlamak organize ettiklerinde hiç tahmin etmek insan birden bir karşı görmek çok şaşırmak
Görsel anlatım etkileyiciydi ama hikayenin akışı bazen tutarsızdı.,Neutral,görsel anlatım etkilemek hikâye akışı tutar
resimde göründüğü gibi değil. Ama idare eder.,Neutral,resim görünmek değil idare eder
Hoşlandığım çocuğun benden hoşlandığını öğrendiğimde.,Happy,hoşlanmak çocuk hoşlanmak öğrenmek
Ailem ve arkadaşlarımla oturup muhabbet ettiğimizde.,Happy,aile arkadaş oturmak muhabbet ettiğimizde
"RT @gazetesozcu: İstanbul’da 111 dönümlük tarım alanı imara açıldı: Otel, AVM yapılacak https://t.co/E3XFC1jZr5",Neutral,istanbul dönüm tarım alan imar açıldı otel avm yapmak
Kusmuk görmek.,Disgust,kusmuk görmek
"Deniz kıyısındaki bu iki katlı yapı, Sultan III. Selim (1789-1807) döneminde geniş çaplı bir onarımdan geçmiş ve Sultan’ın isteği üzerine çok sevdiği annesi Mihrişah Valide Sultan adına 1806’da bir de çeşme eklenmiştir.",Neutral,deniz kıyı iki kat yapı sultan ııı selim dönem geniş çap onarım geçmiş sultan ın istek üzeri çok sevmek anne mihrişah vali sultan ad çeşme eklemek
Kötü kokular.,Disgust,kötü koku
Arkadaşlarım ile geçirilen zamanlar.,Happy,arkadaş geçirmek zaman
Elektrikler kesildiğinde çok korktum.,Fear,elektrik kesmek çok korkmak
"Kasır, Sultan Abdülaziz tarafından ziyafet ve geçit törenleri için kullanılmıştır.",Neutral,kasır sultan abdülaziz tarafından ziyafet geçit tören kullanmak
@mertpostif Cem Yılmaz : Bu nedir ya..!,Neutral,cem yılmak ne
Yeni sınıfımın beklediğim kadar güzel olmamasına.,Sadness,yeni sınıf beklemek güzel olmak
Hoşlanmadığım şakalar yapıldığı zaman.,Anger,hoşlanmak şaka yapmak zaman
Matematik ve fizik sınavından kötü not aldığımda.,Sadness,matematik fizik sınav kötü not aldığımda
50 beklediğim sınavdan 90 alınca şaşırdım.,Surprise,beklemek sınav alınca şaşırmak
Ayak tırnağı ameliyatından tiksindim.,Disgust,ayak tırnak ameliyat tiksinmek
Allah'tan başka kimseden korkmam.,Fear,allah tan başka kimse korkmak
korkmam,Fear,korkmak
rüyamda gördüğüm ürkütücü bir olayı gerçekten olması hem tedirgin ediyor hem de korkutuyor.,Fear,rüya görmek ürkütmek olay gerçekten olmak hem tedirgin ediyor hem korkutmak
yurtta kaldığım dönemde eksiklikleri görevliye söylerken yüzüme bakmaması ve beni dikkate almaması kanı beynime çıkardı.,Anger,yurt kalmak dönem eksik görev söylemek yüz bakmak dikkat almak kanı beyin çıkarmak
Edebiyat sınavından sınıfın en yüksek notunu aldığım zaman çok mutlu oldum.,Happy,edebiyat sınav sınıf yüksek not aldığım zaman çok mutlu oldum
Mesajlarımın gitmemesi.,Anger,mesaj gitmek
Kabus görmek.,Fear,kabus görmek
Pis kokular.,Disgust,pis koku
Kötü insanlara.,Anger,kötü insan
Ailem ve arkadaşlarım ile vakit geçirmek.,Happy,aile arkadaş vakit geçirmek
Sınavdan kaydırma yaptığımı anladığım zaman üzüldüm.,Sadness,sınav kaymak yapmak anlamak zaman üzüldüm
Bir babanın çocuğuna ve karısına gösterdiği şiddete.,Anger,baba çocuk karı göstermek şiddet
Biberin içerisine lor koyup yağlayarak sofraya getirmişlerdi tiksindim yiyemedim.,Disgust,biber içeri lor koymak yağlamak sofra getirmek tiksinmek yiyemedim
Fethiye’de altyapı yatırımı devam ediyor https://t.co/WRSFOsouDs @haberturkgzt aracılığıyla,Neutral,fethiye altyapı yatırım devam ediyor aracılığıyla
Yalan söylenmesi.,Anger,yalan söylemek
Sevdiğim birisiyle tartıştığımda çok mutsuz olurum.,Sadness,sevmek biri tartışmak çok mutsuz olurum
Çinlilerin köpek yediklerini öğrendiğim zaman.,Disgust,çinlilerin köpek yediklerini öğrenmek zaman
arkadaşlarımın sınavlarından bekledikleri sonuçların üstünde alması beni şaşırttı.,Surprise,arkadaş sınav beklemek sonuç üst almak şaşırmak
Herhangi hayvanın aniden karşıma çıkmasından.,Fear,herhangi hayvan aniden karşı çıkmak
Çocuğumun her gün bir şeyler öğrenmesine,Happy,çocuk gün şey öğrenmek
Hiçbir kırılmadan yap Bekar pedagoji için YouTubea baktı devam et aklında bulunsun.,Neutral,kırmak yapmak bekar pedagoji youtubea bakmak devam et aklında bulunmak
insanların yere tükürmesinden nefret ediyorum.,Disgust,insan yer tükürmek nefret ediyorum
Kimse bu pozisyonu neden konuşmuyor #beyazfutbol,Neutral,pozisyon konuşmak beyazfutbol
Rachel McAdams ve Channing Tatumun performansı etkileyici olsa da film bazı romantik klişelere düşebilir.,Neutral,rachel mcadams channing tatumun performans etkilemek olsa film bazı romantik klişe düşmek
Babaannem öldüğünde çok üzüldüm.,Sadness,babaanne öldüğünde çok üzüldüm
Eski sevgilimin yeni sevgilisinden.,Disgust,eski sevgilimin yeni sevgili
Sınavlardan.,Fear,sınav
yapmak istediğim şeyleri yapamadan ölmekten çok korkuyorum,Fear,yapmak istemek şey yapmak ölmek çok korkmak
İstediğim şeyleri yapamayınca üzüntüden ağlıyorum.,Sadness,istemek şey yapmak üzüntü ağlamak
Çok istediğim bir şey olmadığında.,Sadness,çok istemek şey olmak
Sınavlardan düşük puan alınca korkarım.,Fear,sınav düşük puan alınca korkmak
Arkadaşlarım ile piknik yapmaya gittiğim zaman.,Happy,arkadaş piknik yapmak gitmek zaman
Bir kızla tartıştığımda.,Anger,kız tartışmak
Alışveriş yaptığım zaman mutlu oluyorum.,Happy,alışveriş yapmak zaman mutlu oluyorum
En yakın arkadaşımın ihaneti.,Anger,yakın arkadaş ihanet
Müze Osmanlı dönemi yapılarından olan Mahmutpaşa Bedesteni ve Kurşunlu Handan oluşmaktadır.,Neutral,müze osmanlı dönem yapı olan mahmutpaşa bedesten kurşunlu handan oluşmak
CHP'nin HDP ile koalisyon yapabilme fikrine şaşırıyorum.,Surprise,chp nin hdp koalisyon yapmak fikir şaşırmak
Haklı olduğum halde haksız duruma düşmek.,Anger,hak olduğum hal hak durum düşmek
Sevdiğim kişiden mecburi olarak ayrılmak ben çok üzmüştü.,Sadness,sevmek kişi mecburî olarak ayrılmak çok üzmek
Yemekte birinin hapşırması ve sümüğünü yakasına sürmesinden tiksinirim.,Disgust,yemek biri hapşırmak sümük yaka sürmek tiksinmek
Defalarca arayıp bulamadığım bir eşyamı annemin tek seferde bulması.,Surprise,defalarca aramak bulamak eşya anne sefer bulmak
Arkadaşımın arkamdan dedikodu yapması.,Anger,arkadaş arka dedikodu yapmak
Benim için hazırlanan sürpriz bir doğum günü partisine gidince çok şaşırdım.,Surprise,ben hazırlamak sürpriz doğum gün parti gidince çok şaşırmak
Sınavda iken arkamdaki çocuğun sürekli kaç dakika kaldı diye saati sormasına.,Anger,sınav iken arka çocuk sürekli dakika kalmak saat sormak
Kurşunlu Tepede bulunan dramatik sanat eseri 147 yılındaki depremden sonra yeniden inşa edildi.,Neutral,kurşunlu tepe bulunmak dramatik sanat eser yıl deprem sonra yeniden inşa edildi
Yogada hareketleri daha kolay yapmam mutlu ediyor,Happy,yoga hareket kolay yapmak mutlu ediyor
Düşük beklediğim sınavdan yüksek almak.,Happy,düşük beklemek sınav yüksek almak
Kötü bir koku duyduğumda.,Disgust,kötü koku duymak
Küçükken kuzenimin kafasını yanlışlıkla duvara vurmuştum. Ölecek diye korkmuştum.,Fear,küçük kuzen kafa yanlış duvar vurmak ölecek korkmak
Geçen hafta futbol maçında yenildiğimizde üzüldüm.,Sadness,geçen hafta futbol maç yenmek üzüldüm
"Elime geçen bir takım fırsatları değerlendirmediğimden ötürü, yurt dışında yaşama fırsatını kaçırdığım için üzüntü duyuyorum.",Sadness,el geçmek takım fırsat değer yurt dış yaşam fırsat kaçırmak üzüntü duymak
Tatil.,Happy,tatil
Anneannemde kaldığımı sandım korktum.,Fear,anneanne kalmak sanmak korkmak
Çok sevdiğim bir kardeşimin imanından olması.,Sadness,çok sevmek kardeş iman olmak
"""BJK"" şampiyon olduğunda.",Happy,bjk şampiyon olduğunda
Ailemle doğum günü kutlarken.,Happy,aile doğum gün kutlamak
Fizik sınavından 38 aldığımda şaşırdım.,Surprise,fizik sınav aldığımda şaşırmak
Arkadaşlarımla ve ailemle birlikte olunca.,Happy,arkadaş aile birlikte olunca
Anne ve babamın öldüğü düşüncesi.,Sadness,anne baba öldüğü düşünce
Ölü bir hayvan gördükleri zaman insanların üzülmemiş olmasına şaşarım.,Surprise,ölü hayvan görmek zaman insan üzülmemiş olmak şaşmak
elim çorbaya dalınca çok tiksinirim.,Disgust,el çorba dalınç çok tiksinmek
Eski bir otel olmalı. Otel eski olduğu ve termal idrar olduğu için içeride bir koku alma yöntemi vardı ama ondan önce bir sorun olmazdı.,Neutral,eski otel olmak otel eski olduğu termal idrar olduğu içeri koku almak yöntem var önce sorun olmak
"2014 yılında restore edilip yenilenen müzede, sanal turlar, animasyonlar, T biçimindeki sütun replikaları ve Göbeklitepe'den çıkarılan eserlerle tarihe yolculuk imkânı sunuluyor.",Neutral,yıl restore edilip yenilemek müze sanal tur animasyon biçim sütun replikaları göbeklitepe den çıkarmak eser tarih yolcu imk nı sunmak
bazı insanların laubali davranışları benim öfkelenmeme sebep oluyor.,Anger,bazı insan laubalî davranmak ben öfke sebep oluyor
Ülkemizin kötüye giden durumundan korkuyorum.,Fear,ülke kötü giden durum korkmak
"Tesisin temizliği, sunmuş olduğu imkanlar ve spası güzeldi ancak 5 yıldızlı bir otel için kahvaltı ve akşam yemeği menü çeşitliliği açısından yeterli değildi.",Neutral,tesis temiz sunmak olduğu imkân spası güzel yıldız otel kahvaltı akşam yemek menü çeşit açı yeterli değil
Dedemi kaybettiğim zaman  çok üzülmüştüm.,Sadness,dede kaybetmek zaman çok üzülmüştüm
"""Çay cümlesinde pastalar çay ile birlikte yapılır. Her zaman aynıdır. Değişiklikleri temsil edebilir.""",Neutral,çay cümle pasta çay birlikte yapmak zaman aynı değişik temsil edebilir
Tek başıma akşam boş sokakta yürürken korkmuştum.,Fear,baş akşam boş sokak yürümek korkmak
Finale kalamadığımız zaman.,Sadness,final kalmak zaman
Öğretmenin öfkelenmesi ve sınavların açıklandığı zaman.,Fear,öğretmen öfke sınav açıklamak zaman
Yollarda çöp yığınları gördüğüm zaman.,Disgust,yol çöp yığın görmek zaman
Sevdiğim insanların bana kötü davranması.,Sadness,sevmek insan kötü davranmak
İndirimdeyken almıştım Parasına göre idare,Neutral,indirim almak para idare
Türkan Şoray bana benziyomuş öyle diyolar https://t.co/bHh5RuNtds https://t.co/KLznOWo1jn,Neutral,türkan şoray benziyomuş öyle diyolar
Doğum günümde uzakta olan bir arkadaşımdan hediye almıştım. Çok mutlu oldum.,Happy,doğum gün uzak olan arkadaş hediye almak çok mutlu oldum
Ortaokulda sürekli dışlanıp eziliyordum.,Sadness,ortaokul sürekli dışlamak eziliyordum
Başkasının hakkı gasp edildiğinde öfkeleniyorum.,Anger,başka hak gasp edildiğinde öfke
Önüme aniden çıkan kedi.,Fear,ön aniden çıkmak kedi
Hayallerimin gerçek olacağını düşünmek.,Happy,hayal gerçek olacağını düşünmek
beyaz çikolatalısı daha güzel,Neutral,beyaz çikolata güzel
Ben konuşurken lafım kesilirse öfkelenirim.,Anger,konuşmak laf kesmek öfke
Kötü beklediğim dersten yüksek not alınca şaşırırım.,Surprise,kötü beklemek ders yüksek not alınca şaşırmak
Seçim sonuçlarını gördüğüm an.,Surprise,seçim sonuç görmek an
yolda birinin geçerken tükürmesi,Disgust,yol biri geçer tükürmek
Okul koridorunda bir çocuk kusmuştu.,Disgust,okul koridor çocuk kusmak
Sınavlardan korkarım.,Fear,sınav korkmak
Karşıyaka'yı yenince mutlu oluyorum.,Happy,karşıyaka yı yenmek mutlu oluyorum
arkadaşım çok içip kusunca tiksinirim,Disgust,arkadaş çok içip kusmak tiksinmek
Kopya çeker de yakalanırsam diye çok korktum,Fear,kopya çekmek yakalamak çok korkmak
Siyasi çatışmalar crataegus laevigata politika yapımında farklı görüşlerin karşılaşmasını yansıtır.,Neutral,siyasî çatışmak crataegus laevigata politika yapım fark görüş karşılaşmak yansımak
Arkadaşımla sebepsiz yere tartıştığım zaman.,Sadness,arkadaş sebep yer tartışmak zaman
Sürpriz  yapılması ve sınavdan yüksek not almak.,Happy,sürpriz yapmak sınav yüksek not almak
Sınavdan yüksek not aldığımı öğrenince çok mutlu oldum.,Happy,sınav yüksek not aldığımı öğrenmek çok mutlu oldum
Her hangi bir dedikodu duyduğumda.,Anger,dedikodu duymak
Ev arkadaşım evi dağınık ve pis bıraktığı zaman.,Anger,ev arkadaş ev dağınık pis bırakmak zaman
Matematik öğretmeninin mavi far sürdüğünü görünce.,Surprise,matematik öğretmen mavi far sürmek görmek
Güldüğüm zamanlar.,Happy,gülmek zaman
annem anahtarı unuttuğunda ona çok kızdım.,Anger,anne anahtar unutmak çok kız
Olayların gelişimi günlük hayattan bir akış içeriyor,Neutral,olay gelişim günlük hayat akış içermek
Sakatlanmaktan.,Fear,sakat
Teog sınavında yanlışlarımdan dolayı kendime kızdım.,Anger,teog sınav yanlış kendi kızmak
Sevmediğim bir yemeği yediğim zaman.,Disgust,sevmek yemek yediğim zaman
"ayaklardan tiksinirim, pistir çünkü.",Disgust,ayak tiksinmek pis
hiç beklemediğim kişileri bir arada gördüğümde çok şaşırırım.,Surprise,hiç beklemek kişi ara görmek çok şaşırmak
Dün söylediğini bugün inkar eden politikacılar beni tiksindiriyor,Disgust,dün söylemek bugün inkâr eden politika tiksinmek
"""Gizemli ürkütücü atmosfer yaratılmış Dicaprionun güneyi harika oyunculuk ve bulmaca benzeri senaryo zindan adasının benzer örneklerden kolayca çıkmasını sağlamış. Buna rağmen sondaki sürpriz o kadar da şaşırtıcı değil. Sonu başından belli ne yazık ki.""",Neutral,gizem ürkütmek atmosfer yaratmak dicaprionun güneyi harika oyun bulmak benzeri senaryo zindan ada benzer örnek kolay çıkmak sağlamak bu rağmen son sürpriz şaşırmak değil son baş belli yazık
Değerli olanı kaybetmekten korkarım.,Fear,değer olanı kaybetmek korkmak
İngilizce sınavına yeterince çalıştığımı düşündüğüm halde  düşük not almak.,Sadness,ingilizce sınav yeterince çalışmak düşünmek hal düşük not almak
Kan gördüğüm zaman.,Disgust,kan görmek zaman
Kız arkadaşım sürpriz ziyaretime geldiğinde çok şaşırmıştım.,Surprise,kız arkadaş sürpriz ziyaret gelmek çok şaşırmak
Annem mantı yapınca mutlu olurum.,Happy,anne mantı yapmak mutlu olurum
Bilmediğim bir yerde kaybolmak.,Fear,bilmek yer kaybolmak
Biyoloji dersinde iğrenç bir sunum hazırlamışken başkalarının uğraşıp güzel sunumlar hazırlamasına şaşırıyorum.,Surprise,biyoloji ders iğrenç sunum hazırlamak başka uğraşmak güzel sunum hazırlamak şaşırmak
Hediye göndereceklerini söylediler ama göndermediler ama krema güzel,Neutral,hediye göndermek söylemek göndermek krema güzel
Annemin belini kırması.,Sadness,anne bel kırmak
